Isolate,total,rif,inh,emb,pza,str,cap,amk,cip,kan,levo,oflx,pas,eth,unknown
rename_mycobacterium_tuberculosis_h2398.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1287.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1034.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_h2754.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1026.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h2760.0.variants,5,0,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1212.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h3033.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1310.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1424.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1389.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1381.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1384.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1416.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1448.0.variants,7,1,1,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1340.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1481.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1475.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1425.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1439.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1429.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1452.0.variants,7,1,0,1,0,1,0,0,0,0,0,0,0,1,3
rename_mycobacterium_tuberculosis_m1402.0.variants,5,0,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1307.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1456.0.variants,5,0,1,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1438.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1444.0.variants,5,0,0,0,0,1,0,0,0,0,1,0,0,0,3
rename_mycobacterium_tuberculosis_m1449.0.variants,5,0,1,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1392.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1417.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1415.0.variants,6,0,0,1,0,1,0,0,0,0,1,0,0,1,2
rename_mycobacterium_tuberculosis_m1461.0.variants,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1400.0.variants,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
rename_mycobacterium_tuberculosis_m1441.0.variants,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1315.0.variants,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1317.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1458.0.variants,5,0,1,1,0,1,0,0,0,0,0,0,0,0,2
rename_mycobacterium_tuberculosis_m1404.0.variants,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
KP145,5,0,1,0,1,1,0,0,0,0,0,0,0,0,2
KP162,5,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Sample No 3213545.IonXpress_029.sorted,7,0,0,1,0,1,0,0,0,0,0,0,0,1,4
1733.4747_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1733.3687_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1733.3500_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
IonXpress_001_2020_07_13_sample no 356.sorted,8,0,0,1,0,2,0,0,0,1,0,0,0,0,4
3212705.IonXpress_024.sorted,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
SampleNo_3216193_IonXpress_018,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
SampleNo_3216574__IonXpress_017,7,0,0,1,0,3,0,0,0,0,0,0,0,0,3
SampleNo_3215324_IonXpress_024,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448644.3_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1448634.3_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1448617.3_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Sample No 3212705.IonXpress_021.sorted,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
1448836.3_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1448669.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448778.3_sus,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
1448742.3_sus,5,1,0,0,0,2,0,0,0,0,0,0,0,0,2
1733.3303_sus,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
1733.10680_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1733.4535_sus,7,0,0,1,0,1,0,0,0,0,0,0,0,1,4
1448647.3_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1448688.3_sus,5,0,0,0,0,1,0,0,0,0,1,0,0,0,3
1733.3659_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1448783.3_sus,4,0,1,0,0,1,0,0,0,0,0,0,0,0,2
1448620.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
3215324 _(S2_B24).sorted,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Test1155,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
WGS_TB_11-10-2020_2162.sorted,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
TEST0268,7,1,0,1,1,1,0,0,0,0,0,0,0,1,2
3213123.IonXpress_027.sorted,7,0,0,1,0,3,0,0,0,0,0,0,0,0,3
KP138,4,0,0,0,1,1,0,0,0,0,0,0,0,0,2
1448611.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448829.3_sus,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
1448652.3_sus,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
1448636.3_sus,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
1448612.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1733.2319_sus,5,0,0,0,0,2,1,1,0,1,0,0,0,0,0
1733.3222_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1733.10369_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448614.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448681.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448677.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1448817.3_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Test268,6,1,0,1,0,1,0,0,0,0,0,0,0,1,2
TDR9S156L002,18,0,1,12,0,1,0,0,0,0,3,0,0,0,1
Test380,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Test301,9,0,0,0,0,2,0,0,0,0,0,0,0,0,7
Test387,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Test338,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Test367,7,0,0,1,0,1,0,1,0,1,0,0,0,0,3
Test348,7,0,0,2,0,2,0,0,0,0,0,0,0,0,3
Test365,5,0,0,0,0,1,0,1,0,1,0,0,0,0,2
3215324 (S2 B 24).sorted,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
WGS_TB_12-07-2020_sample no 2369.sorted,8,0,0,1,0,2,0,0,0,1,0,0,0,0,4
Test428,8,0,2,0,0,1,0,0,0,0,0,0,0,0,5
Test434,4,0,0,0,0,2,1,1,0,1,0,0,0,0,-1
Test404,8,0,0,1,0,2,0,1,0,1,0,0,0,0,3
Test410,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
KP194,9,0,1,1,4,2,0,0,0,0,0,0,0,0,1
KP195,7,0,1,0,1,2,1,1,0,1,0,0,0,0,0
Test098,13,1,1,3,1,2,0,0,0,0,0,0,0,0,5
Test133,12,1,2,3,0,2,0,0,0,0,1,0,0,1,2
KP123,7,1,1,3,1,1,0,0,0,0,0,0,0,0,0
KP228,10,1,1,3,2,2,1,1,0,1,0,0,0,0,-2
TDR_1_S86_L002,9,2,0,1,0,3,1,1,0,1,0,0,0,0,0
rename_mycobacterium_tuberculosis_m1253.0.variants,7,1,1,0,0,2,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h3367.0.variants,8,1,1,1,0,2,1,1,0,1,0,0,0,0,0
rename_mycobacterium_tuberculosis_m1283.0.variants,7,1,1,0,0,2,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_m1221.0.variants,7,1,0,0,1,1,0,0,0,0,0,0,0,1,3
rename_mycobacterium_tuberculosis_m1422.0.variants,10,2,0,1,0,2,1,1,0,1,0,0,0,1,1
1773.18403_res,11,1,1,1,1,3,1,1,0,1,0,0,0,0,1
Test1138,13,1,1,2,0,3,1,1,0,1,1,0,0,1,1
TEST0292,13,1,1,1,1,3,1,1,0,1,1,0,0,1,1
Test1405,17,1,1,4,1,3,2,2,0,2,0,0,0,0,1
1408927.4_res,9,1,1,1,0,2,0,0,0,0,0,0,0,0,4
1448637.7_res,7,1,0,0,1,1,0,0,0,0,0,0,0,1,3
Test292,14,1,1,1,0,3,1,1,0,1,1,0,0,1,3
KP128,12,2,1,1,1,3,0,0,0,0,0,0,0,0,4
Test1311,13,1,1,2,0,3,1,1,0,1,1,0,0,1,1
Test1371,12,1,1,0,1,2,0,0,0,0,0,0,0,1,6
Test1307,13,1,1,1,1,3,1,1,0,1,1,0,0,1,1
Test416,10,1,1,0,0,2,1,2,0,2,0,0,0,0,1
1733.2533_res,13,1,1,3,1,2,0,0,0,0,0,0,0,0,5
1733.2530_res,11,1,1,2,0,2,0,2,0,2,1,0,0,0,0
Test345,10,0,0,1,0,2,0,1,0,1,0,0,0,0,5
Test356,10,1,0,2,0,3,0,0,0,0,1,0,0,0,3
SRR2101131,8,0,1,1,1,1,0,0,0,0,0,0,0,0,4
3213637_IonXpress_022,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3213249_IonXpress_019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
TSVC_variants_IonXpress_020,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
rename_mycobacterium_tuberculosis_h2102.0.variants,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
rename_mycobacterium_tuberculosis_h3004.0.variants,6,0,0,0,1,2,0,0,0,0,0,0,0,0,3
1733.3521_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.4002_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1733.3891_sus,6,1,0,0,0,2,1,0,0,1,0,0,0,0,1
TSVC_variants_IonXpress_019,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1733.10483_sus,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1733.10539_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1448776.3_sus,5,0,0,1,0,1,0,0,0,0,0,0,0,0,3
TSVC_variants_3214404_020,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
TSVC_variants_IonXpress_030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733.5490_sus,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3
321857_IonXpress_021,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
3212387_IonXpress_022,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
3213118_IonXpress_027,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
3211453_IonXpress_019,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3213642_IonXpress_030,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
3211956_IonXpress_026,5,1,0,0,0,1,0,0,0,0,0,0,0,0,3
3211198_IonXpress_020,6,0,0,0,0,1,0,0,0,0,1,0,0,0,4
3211380_IonXpress_022,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
321769_IonXpress_019,7,0,1,1,0,2,0,0,0,0,0,0,0,0,3
321528_IonXpress_018,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
321262_IonXpress_017,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
3211379_IonXpress_021,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
S3_3215574_IonXpress_021,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1423512.3_res,12,1,1,2,0,2,0,0,0,0,0,0,0,0,6
1733.8930_res,7,1,0,0,0,1,0,0,0,0,0,0,0,0,5
1733.6985_res,10,1,1,1,0,2,1,1,0,1,1,0,0,0,1
3212598_IonXpress_023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3211517_IonXpress_020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1402592.3_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3214236_IonXpress_026,6,0,0,0,0,1,1,0,0,0,0,0,0,0,4
3214642_IonXpress_027,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
HM2WFCCXY_3_1_AAAATG_150bp.concat_chastity_passed,14,0,0,5,0,0,0,0,0,0,3,0,0,0,6
1733.3630_sus,6,0,0,2,0,1,0,0,0,0,0,0,0,0,3
1733.11085_sus,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
1733.11190_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.10060_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.4005_sus,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3
1733.10330_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.11083_sus,8,0,0,0,0,1,0,0,0,0,0,0,0,0,7
1733.10710_sus,8,0,1,0,0,2,1,1,0,1,0,0,0,0,2
1733.4663_sus,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5
TSVC_variants_IonXpress_024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733.10051_sus,6,0,0,0,0,2,1,1,0,1,0,0,0,0,1
1733.10143_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1733.10393_sus,7,0,0,0,0,2,0,0,0,0,0,0,0,0,5
1733.10109_sus,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
1733.10228_sus,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1733.10247_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.10261_sus,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1733.10513_res,6,0,1,0,0,1,0,0,0,0,0,0,0,0,4
1733.10282_res,7,0,1,0,0,1,0,0,0,0,0,0,0,1,4
1733.10722_res,6,0,0,0,0,1,1,0,0,0,0,0,0,0,4
TSVC_variants_3214683_024,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6
1733.10300_res,8,0,0,1,0,2,1,1,0,1,0,0,0,0,2
1733.7453_res,9,1,1,0,1,2,1,1,0,1,0,0,0,0,1
1733.7731_res,9,2,1,2,0,2,0,0,0,0,0,0,0,1,1
3214642_IonXpress_021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSVC_variants_IonXpress_017 (3),7,0,1,1,0,1,0,0,0,0,0,0,0,1,3
Test369,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Test1395,12,0,0,0,0,2,0,0,0,0,0,0,0,0,10
Test1059,8,0,0,1,0,3,1,1,0,1,0,0,0,0,1
Test1073,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Test1045,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Test1074,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Test964,9,1,1,0,1,2,0,0,0,0,0,0,0,1,3
Test1183,6,0,0,1,0,1,0,0,0,0,0,0,0,0,4
Test1055,7,0,0,0,0,1,0,0,0,0,0,0,0,0,6
Test1050,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3211622_IonXpress_017,8,0,1,0,0,1,0,0,0,0,0,0,0,1,5
3213329_IonXpress_020,6,0,0,0,0,1,0,0,0,0,0,0,0,1,4
rename_mycobacterium_tuberculosis_h1249.0.variants,7,0,0,0,0,1,0,0,0,0,0,0,0,1,5
rename_mycobacterium_tuberculosis_m1210.0.variants,9,0,0,0,0,2,0,0,0,0,1,0,0,1,5
