Isolate,Lineage,Resistant,WHO-Identified,High_Confidence,Low_Confidence
rename_mycobacterium_tuberculosis_m1273.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h1578.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2375.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m13.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1295.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m991.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1288.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1213.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1025.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m992.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2264.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m987.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2398.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1287.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1034.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_h2754.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1026.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h2760.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1212.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_h3033.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1310.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1424.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1389.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1381.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1384.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1416.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1448.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1340.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1481.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1475.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1425.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1439.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1429.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1452.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1402.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1307.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1456.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1438.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1444.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1449.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1392.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1417.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1415.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1461.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1400.0.variants,1.1.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1441.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1315.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1317.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1458.0.variants,1.1.2,0,0,0,0
rename_mycobacterium_tuberculosis_m1404.0.variants,1.1.2,0,0,0,0
KP145,1.1.2,0,0,0,0
KP162,1.1.2,0,0,0,0
Sample No 3213545.IonXpress_029.sorted,1.1.2,0,1,0,1
1733.4747_sus,1.1.2,0,0,0,0
1733.3687_sus,1.1.2,0,0,0,0
1733.3500_sus,1.1.2,0,0,0,0
IonXpress_001_2020_07_13_sample no 356.sorted,1.1.2,0,0,0,0
3212705.IonXpress_024.sorted,1.1.2,0,0,0,0
SampleNo_3216193_IonXpress_018,1.1.2,0,0,0,0
SampleNo_3216574__IonXpress_017,1.1.2,0,0,0,0
SampleNo_3215324_IonXpress_024,1.1.2,0,0,0,0
1448644.3_sus,1.1.2,0,0,0,0
1448634.3_sus,1.1.2,0,0,0,0
1448617.3_sus,1.1.2,0,0,0,0
Sample No 3212705.IonXpress_021.sorted,1.1.2,0,0,0,0
1448836.3_sus,1.1.2,0,0,0,0
1448669.3_sus,1.1.2,0,0,0,0
1448778.3_sus,1.1.2,0,0,0,0
1448742.3_sus,1.1.2,0,0,0,0
1733.3303_sus,1.1.2,0,0,0,0
1733.10680_sus,1.1.2,0,0,0,0
1733.4535_sus,1.1.2,0,1,0,1
1448647.3_sus,1.1.2,0,0,0,0
1448688.3_sus,1.1.2,0,0,0,0
1733.3659_sus,1.1.2,0,0,0,0
1448783.3_sus,1.1.2,0,0,0,0
1448620.3_sus,1.1.2,0,0,0,0
3215324 _(S2_B24).sorted,1.1.2,0,0,0,0
Test1155,1.1.2,0,0,0,0
WGS_TB_11-10-2020_2162.sorted,1.1.2,0,0,0,0
TEST0268,1.1.2,0,1,0,1
3213123.IonXpress_027.sorted,1.1.2,0,0,0,0
KP138,1.1.2,0,0,0,0
1448611.3_sus,1.1.2,0,0,0,0
1448829.3_sus,1.1.2,0,0,0,0
1448652.3_sus,1.1.2,0,1,0,1
1448636.3_sus,1.1.2,0,1,0,1
1448612.3_sus,1.1.2,0,0,0,0
1733.2319_sus,1.1.2,0,0,0,0
1733.3222_sus,1.1.2,0,0,0,0
1733.10369_sus,1.1.2,0,0,0,0
1448614.3_sus,1.1.2,0,0,0,0
1448681.3_sus,1.1.2,0,0,0,0
1448677.3_sus,1.1.2,0,0,0,0
1448817.3_sus,1.1.2,0,0,0,0
Test268,1.1.2,0,1,0,1
TDR9S156L002,1.1.2,0,0,0,0
Test380,1.1.2,0,0,0,0
Test301,1.1.2,0,0,0,0
Test387,1.1.2,0,0,0,0
Test338,1.1.2,0,0,0,0
Test367,1.1.2,0,0,0,0
Test348,1.1.2,0,0,0,0
Test365,1.1.2,0,0,0,0
3215324 (S2 B 24).sorted,1.1.2,0,0,0,0
WGS_TB_12-07-2020_sample no 2369.sorted,1.1.2,0,0,0,0
Test428,1.1.2,0,0,0,0
Test434,1.1.2,0,0,0,0
Test404,1.1.2,0,0,0,0
Test410,1.1.2,0,0,0,0
KP194,1.1.2,0,0,0,0
KP195,1.1.2,0,0,0,0
Test098,1.1.2,1,0,0,0
Test133,1.1.2,1,1,0,1
KP123,1.1.2,1,0,0,0
KP228,1.1.2,1,0,0,0
TDR_1_S86_L002,1.1.2,1,0,0,0
rename_mycobacterium_tuberculosis_m1253.0.variants,1.1.2,1,0,0,0
rename_mycobacterium_tuberculosis_h3367.0.variants,1.1.2,1,0,0,0
rename_mycobacterium_tuberculosis_m1283.0.variants,1.1.2,1,0,0,0
rename_mycobacterium_tuberculosis_m1221.0.variants,1.1.2,1,1,0,1
rename_mycobacterium_tuberculosis_m1422.0.variants,1.1.2,1,1,0,1
1773.18403_res,1.1.2,1,0,0,0
Test1138,1.1.2,1,1,0,1
TEST0292,1.1.2,1,1,0,1
Test1405,1.1.2,1,0,0,0
1408927.4_res,1.1.2,1,0,0,0
1448637.7_res,1.1.2,1,1,0,1
Test292,1.1.2,1,1,0,1
KP128,1.1.2,1,0,0,0
Test1311,1.1.2,1,1,0,1
Test1371,1.1.2,1,1,0,1
Test1307,1.1.2,1,1,0,1
Test416,1.1.2,1,0,0,0
1733.2533_res,1.1.2,1,0,0,0
1733.2530_res,1.1.2,1,0,0,0
Test345,"1.1.2,2.2.1.1.1",0,0,0,0
Test356,"1.1.2,2.2.1.1.1",1,0,0,0
SRR2101131,"1.1.2,4",0,0,0,0
3213637_IonXpress_022,1.1.3,0,0,0,0
3213249_IonXpress_019,1.1.3,0,0,0,0
TSVC_variants_IonXpress_020,1.1.3,0,0,0,0
rename_mycobacterium_tuberculosis_h2102.0.variants,1.1.3,0,0,0,0
rename_mycobacterium_tuberculosis_h3004.0.variants,1.1.3,0,0,0,0
1733.3521_sus,1.1.3,0,0,0,0
1733.4002_sus,1.1.3,0,0,0,0
1733.3891_sus,1.1.3,0,0,0,0
TSVC_variants_IonXpress_019,1.1.3,0,0,0,0
1733.10483_sus,1.1.3,0,0,0,0
1733.10539_sus,1.1.3,0,0,0,0
1448776.3_sus,1.1.3,0,0,0,0
TSVC_variants_3214404_020,1.1.3,0,0,0,0
TSVC_variants_IonXpress_030,1.1.3,0,0,0,0
1733.5490_sus,1.1.3,0,0,0,0
321857_IonXpress_021,1.1.3,0,0,0,0
3212387_IonXpress_022,1.1.3,0,0,0,0
3213118_IonXpress_027,1.1.3,0,0,0,0
3211453_IonXpress_019,1.1.3,0,0,0,0
3213642_IonXpress_030,1.1.3,0,0,0,0
3211956_IonXpress_026,1.1.3,0,0,0,0
3211198_IonXpress_020,1.1.3,0,0,0,0
3211380_IonXpress_022,1.1.3,0,0,0,0
321769_IonXpress_019,1.1.3,0,0,0,0
321528_IonXpress_018,1.1.3,0,0,0,0
321262_IonXpress_017,1.1.3,0,0,0,0
3211379_IonXpress_021,1.1.3,0,0,0,0
S3_3215574_IonXpress_021,1.1.3,0,0,0,0
1423512.3_res,1.1.3,1,0,0,0
1733.8930_res,1.1.3,1,0,0,0
1733.6985_res,1.1.3,1,0,0,0
3212598_IonXpress_023,"1.1.3,4.9",0,0,0,0
3211517_IonXpress_020,"1.1.3,4.9",0,0,0,0
1402592.3_sus,1.2.1,0,0,0,0
3214236_IonXpress_026,1.2.1,0,0,0,0
3214642_IonXpress_027,1.2.1,0,0,0,0
HM2WFCCXY_3_1_AAAATG_150bp.concat_chastity_passed,1.2.1,0,0,0,0
1733.3630_sus,1.2.1,0,0,0,0
1733.11085_sus,1.2.1,0,0,0,0
1733.11190_sus,1.2.1,0,0,0,0
1733.10060_sus,1.2.1,0,0,0,0
1733.4005_sus,1.2.1,0,0,0,0
1733.10330_sus,1.2.1,0,0,0,0
1733.11083_sus,1.2.1,0,0,0,0
1733.10710_sus,1.2.1,0,0,0,0
1733.4663_sus,1.2.1,0,0,0,0
TSVC_variants_IonXpress_024,1.2.1,0,0,0,0
1733.10051_sus,1.2.1,0,0,0,0
1733.10143_sus,1.2.1,0,0,0,0
1733.10393_sus,1.2.1,0,0,0,0
1733.10109_sus,1.2.1,0,0,0,0
1733.10228_sus,1.2.1,0,0,0,0
1733.10247_sus,1.2.1,0,0,0,0
1733.10261_sus,1.2.1,0,0,0,0
1733.10513_res,1.2.1,0,0,0,0
1733.10282_res,1.2.1,0,1,1,0
1733.10722_res,1.2.1,0,0,0,0
TSVC_variants_3214683_024,1.2.1,0,0,0,0
1733.10300_res,1.2.1,0,0,0,0
1733.7453_res,1.2.1,1,0,0,0
1733.7731_res,1.2.1,1,1,0,1
3214642_IonXpress_021,"1.2.1,4.9",0,0,0,0
TSVC_variants_IonXpress_017 (3),1.2.1.1.1,0,1,0,1
Test369,1.2.1.1.1,0,0,0,0
Test1395,1.2.1.1.1,0,0,0,0
Test1059,1.2.1.1.1,0,0,0,0
Test1073,1.2.1.1.1,0,0,0,0
Test1045,1.2.1.1.1,0,0,0,0
Test1074,1.2.1.1.1,0,0,0,0
Test964,1.2.1.1.1,1,1,0,1
Test1183,1.2.1.1.2,0,0,0,0
Test1055,1.2.1.1.2,0,0,0,0
Test1050,1.2.1.1.2,0,0,0,0
3211622_IonXpress_017,1.2.2,0,1,0,1
3213329_IonXpress_020,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_h1249.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1210.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1271.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_h3094.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m984.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1029.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1011.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1319.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1324.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1325.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1410.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1431.0.variants,1.2.2,0,1,0,1
rename_mycobacterium_tuberculosis_m1373.0.variants,1.2.2,0,1,0,1
1733.3700_sus,1.2.2,0,1,0,1
1448450.3_sus,1.2.2,0,1,0,1
1448633.3_sus,1.2.2,0,1,0,1
TSVC_variants_IonXpress_017,1.2.2,0,0,0,0
1733.1840_sus,1.2.2,0,1,0,1
1733.4641_sus,1.2.2,0,1,0,1
1448610.3_sus,1.2.2,0,1,0,1
1448735.3_res,1.2.2,0,1,0,1
1448704.3_res,1.2.2,0,1,0,1
1733.6784_res,1.2.2,0,1,0,1
3214585_IonXpress_031,1.2.2,0,1,0,1
IDR1600033693,1.2.2,0,3,0,3
S4_3216177_IonXpress_022,1.2.2,0,1,0,1
1267364.3_sus,1.2.2,1,2,0,2
1397923.3_sus,1.2.2,1,1,0,1
1397909.3_sus,1.2.2,1,1,0,1
1324279.3_res,1.2.2,1,2,0,2
1733.6668_res,1.2.2,1,2,0,2
1733.7786_res,1.2.2,1,1,0,1
1733.8444_res,1.2.2,1,2,0,2
1733.8613_res,1.2.2,1,1,0,1
1733.8642_res,1.2.2,1,2,0,2
1324279.3_sus,1.2.2,1,2,0,2
1733.6221_res,1.2.2,1,2,0,2
3213343_IonXpress_031,"1.2.2,4",0,1,0,1
Test091,1.2.2.1,0,1,0,1
CS5465-LDJ7658-W1_L3_1.fq.sorted,1.2.2.1,0,1,0,1
CS-5465-LDC9251_L2_1.fq.sorted,1.2.2.1,0,1,0,1
Sample No 3213329.IonXpress_020.sorted,1.2.2.1,0,0,0,0
3211622.IonXpress_017.sorted,1.2.2.1,0,1,0,1
Test1119,1.2.2.1,0,1,0,1
TEST0260,1.2.2.1,0,1,0,1
TEST0280,1.2.2.1,0,1,0,1
KP279,1.2.2.1,0,1,0,1
Test280,1.2.2.1,0,1,0,1
Test260,1.2.2.1,0,1,0,1
Test341,1.2.2.1,0,1,0,1
Test349,1.2.2.1,0,1,0,1
Test391,1.2.2.1,0,1,0,1
Test371,1.2.2.1,0,1,0,1
Test324,1.2.2.1,0,1,0,1
Test1340,1.2.2.1,0,1,0,1
Sample No 3213343.IonXpress_031.sorted,1.2.2.1,0,0,0,0
Test462,1.2.2.1,0,1,0,1
Test402,1.2.2.1,0,1,0,1
Test439,1.2.2.1,0,1,0,1
KP219,1.2.2.1,0,1,0,1
YA00086626,1.2.2.1,1,2,0,2
YA00086625,1.2.2.1,1,2,0,2
KP126,1.2.2.1,1,2,1,1
CS5556-LDJ7634-W1_L3_1.fq.sorted,1.2.2.1,1,1,0,1
TEST0264,1.2.2.1,1,1,0,1
TEST0298,1.2.2.1,1,1,0,1
CS5556-LDJ7634-W1_L3_1.sorted,1.2.2.1,1,1,0,1
Test264,1.2.2.1,1,1,0,1
Test298,1.2.2.1,1,1,0,1
Test323,1.2.2.1,1,1,0,1
Test302,1.2.2.1,1,2,1,1
Test508,1.2.2.1,1,2,0,2
Test490,1.2.2.1,1,2,0,2
Test472,1.2.2.1,1,2,0,2
Test485,1.2.2.1,1,2,0,2
Test488,1.2.2.1,1,2,0,2
Test453,1.2.2.1,1,2,0,2
Test486,1.2.2.1,1,2,0,2
Test458,1.2.2.1,1,2,0,2
Test311,"1.2.2.1,1.1.2",0,1,0,1
Test297,"1.2.2.1,2.2.1.1.1",1,1,0,1
Sample No 3211622.IonXpress_017.sorted,"1.2.2.1,4",0,0,0,0
Malwai_freebayes_150_AC_AN_MAF_Qual,"1.2.2.1,4.2.1.2.1.1.i3.1,4.1.i1.1.1.1,2.2.1.1.1,4.2.1.2.1.1.i3.2,4.1.i1.1.2,1.1.1.2.i1,3.1.1.i1,4.2.1.1.1.1.1.1.i2",0,2,0,2
34,1.2.2.2,0,1,0,1
50,1.2.2.2,0,1,0,1
56,1.2.2.2,0,1,0,1
51,1.2.2.2,0,1,0,1
18,1.2.2.2,0,1,0,1
13,1.2.2.2,0,1,0,1
55,1.2.2.2,0,1,0,1
59,1.2.2.2,0,1,0,1
52,1.2.2.2,0,1,0,1
31,1.2.2.2,0,1,0,1
66,1.2.2.2,0,1,0,1
47,1.2.2.2,0,1,0,1
58,1.2.2.2,0,1,0,1
49,1.2.2.2,0,1,0,1
57,1.2.2.2,0,1,0,1
TB-111-17700-19_S33_R.all,"2,4.8",0,0,0,0
1733.9005_res,2.1,0,0,0,0
Test1067,2.1,0,0,0,0
Test1451,2.1,1,0,0,0
Test1455,2.1,1,0,0,0
KP234,2.1,1,0,0,0
X935_ano_flt,2.2,0,0,0,0
1408925.4_sus,"2.2,3",0,0,0,0
TB-111-12030-18_S138_R.all,"2.2,4.8",0,0,0,0
TB-MoldovaSeq-DNA063-1115_S63_ndc,"2.2,4.8",1,0,0,0
Serialsamples.XD00428048.dedup_reads.bam.indelqualed_reads.bam.vars,2.2.1,0,0,0,0
1400936.3_sus,2.2.1,0,0,0,0
1773.18275_res,2.2.1,0,2,0,2
1773.21428_sus,2.2.1,0,0,0,0
1773.21245_sus,2.2.1,0,0,0,0
1773.21547_sus,2.2.1,0,0,0,0
1773.21426_sus,2.2.1,0,0,0,0
1773.21178_sus,2.2.1,0,1,0,1
1773.21286_sus,2.2.1,0,0,0,0
1773.21180_sus,2.2.1,0,1,0,1
1773.21226_sus,2.2.1,0,1,0,1
1773.21260_sus,2.2.1,0,0,0,0
1773.21543_sus,2.2.1,0,0,0,0
1773.21566_sus,2.2.1,0,0,0,0
1773.21229_sus,2.2.1,0,1,0,1
1773.21218_sus,2.2.1,0,1,0,1
1773.21194_sus,2.2.1,0,1,0,1
1773.21328_sus,2.2.1,0,0,0,0
1773.21431_sus,2.2.1,0,0,0,0
1773.21478_sus,2.2.1,0,0,0,0
1773.21220_sus,2.2.1,0,1,0,1
1773.21376_sus,2.2.1,0,0,0,0
1773.21550_sus,2.2.1,0,0,0,0
1773.21573_sus,2.2.1,0,0,0,0
1773.21519_sus,2.2.1,0,0,0,0
1773.21484_sus,2.2.1,0,0,0,0
1773.21565_sus,2.2.1,0,0,0,0
1773.21493_sus,2.2.1,0,0,0,0
1773.21421_sus,2.2.1,0,0,0,0
1773.21231_sus,2.2.1,0,1,0,1
1773.21212_sus,2.2.1,0,1,0,1
1773.21327_sus,2.2.1,0,0,0,0
1773.21316_sus,2.2.1,0,0,0,0
1773.21344_sus,2.2.1,0,0,0,0
1773.21318_sus,2.2.1,0,0,0,0
1773.21342_sus,2.2.1,0,0,0,0
1773.21277_sus,2.2.1,0,0,0,0
1773.21413_sus,2.2.1,0,0,0,0
1773.21251_sus,2.2.1,0,0,0,0
BORA_4,2.2.1,0,0,0,0
BORA_6,2.2.1,0,0,0,0
1324289.3_sus,2.2.1,0,0,0,0
1402599.3_sus,2.2.1,0,0,0,0
1400895.3_sus,2.2.1,0,0,0,0
1408964.4_sus,2.2.1,0,0,0,0
rename_mycobacterium_tuberculosis_h1856.0.variants,2.2.1,0,0,0,0
rename_mycobacterium_tuberculosis_h1329.0.variants,2.2.1,0,1,0,1
rename_mycobacterium_tuberculosis_h2581.0.variants,2.2.1,0,0,0,0
rename_mycobacterium_tuberculosis_m1397.0.variants,2.2.1,0,0,0,0
1400911.3_sus,2.2.1,0,0,0,0
1397897.3_sus,2.2.1,0,0,0,0
1397900.3_sus,2.2.1,0,0,0,0
1324295.3_sus,2.2.1,0,0,0,0
1324300.3_sus,2.2.1,0,0,0,0
1397904.3_sus,2.2.1,0,0,0,0
TB-222-2010-19_S136_R.all,2.2.1,0,0,0,0
TB-333-2223-19_S7_R.all,2.2.1,0,0,0,0
TB-333-2795-19_S141_R.all,2.2.1,0,0,0,0
TB-333-339-19_S49_R.all,2.2.1,0,0,0,0
TB-222-1360-19-138_S2_R.all,2.2.1,0,0,0,0
TB-222-2423-18_S144_R.all,2.2.1,0,0,0,0
TB-222-1158-19_S38_R.all,2.2.1,0,0,0,0
TB-333-1458-19_S129_R.all,2.2.1,0,0,0,0
TB-222-529-18_S140_R.all,2.2.1,0,0,0,0
TB-222-885-19_S84_R.all,2.2.1,0,0,0,0
TB-333-5403-19_S170_R.all,2.2.1,0,1,0,1
TB-333-5492-19_S82_R.all,2.2.1,0,0,0,0
TB-222-3636-19_S114_R.all,2.2.1,0,0,0,0
TB-222-207-19_S43_R.all,2.2.1,0,0,0,0
TB-222-42-18_S152_R.all,2.2.1,0,1,0,1
TB-333-3150-19_S156_R.all,2.2.1,0,0,0,0
TB-333-356-19_S177_R.all,2.2.1,0,1,0,1
TB-222-14-18_S137_R.all,2.2.1,0,0,0,0
TB-333-4387-19_S80_R.all,2.2.1,0,0,0,0
TB-222-3869-18_S209_R.all,2.2.1,0,0,0,0
