,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
46,amk,2.2.1.1.2,8.333333333333334,1,11
47,amk,2.2.1.2,0.0,0,1
48,amk,"2.2.1.2,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
49,amk,2.2.2,50.98814229249012,129,124
50,amk,"2.2.2,2.2.1",0.0,0,1
51,amk,"2.2.2,2.2.1.1.1",0.0,0,1
52,amk,3,15.714285714285714,22,118
53,amk,"3,4",0.0,0,1
54,amk,3.1,0.0,0,2
55,amk,"3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
56,amk,3.1.1,4.054054054054054,6,142
57,amk,"3.1.1,2.2.1.1.1",66.66666666666667,2,1
58,amk,"3.1.1,4.1.i1.1.1.1",0.0,0,1
59,amk,"3.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
60,amk,"3.1.1,4.2.1.1.1.2.1.1",0.0,0,1
61,amk,3.1.1.,0.0,0,1
62,amk,3.1.1.i1,0.0,0,15
63,amk,3.1.1.i2,6.896551724137931,2,27
64,amk,3.1.2,0.0,0,9
65,amk,3.1.2.1,0.0,0,8
66,amk,3.1.2.2,0.0,0,1
67,amk,3.2,0.0,0,1
68,amk,3.2.1,0.0,0,1
69,amk,4,6.666666666666667,3,42
70,amk,4.1,0.0,0,37
71,amk,4.1.1,25.0,1,3
72,amk,"4.1.1,4.8",0.0,0,1
73,amk,4.1.1.1,0.0,0,16
74,amk,4.1.1.2,0.0,0,5
75,amk,4.1.1.3,14.0625,9,55
76,amk,4.1.2,0.0,0,36
77,amk,4.1.2.1,4.464285714285714,10,214
78,amk,"4.1.2.1,2.2.1",0.0,0,6
79,amk,"4.1.2.1,2.2.1,1.1.2",100.0,1,0
80,amk,"4.1.2.1,3",0.0,0,1
81,amk,"4.1.2.1,4.2.1",0.0,0,1
82,amk,"4.1.2.1,4.3.3",0.0,0,1
83,amk,"4.1.2.1,4.4.1.1",0.0,0,1
84,amk,"4.1.2.1,4.8",0.0,0,3
85,amk,4.1.i1.1.1,0.0,0,1
86,amk,4.1.i1.1.1.1,2.247191011235955,6,261
87,amk,"4.1.i1.1.1.1,2.2.1.1.1",0.0,0,2
88,amk,"4.1.i1.1.1.1,4.2.1.2.1.1.i4.1",0.0,0,2
89,amk,"4.1.i1.1.1.1,4.2.1.2.2.1",0.0,0,1
90,amk,4.1.i1.1.1.2,0.0,0,5
91,amk,4.1.i1.1.2,0.0,0,3
92,amk,4.1.i1.2.1,3.053435114503817,4,127
93,amk,"4.1.i1.2.1,2.2.1.1.1",0.0,0,3
94,amk,4.1.i1.2.2,0.0,0,4
95,amk,4.1.i2.1,0.0,0,1
96,amk,"4.1.i2.1,4.2.1.2.1.1.i1",0.0,0,1
97,amk,4.2,0.0,0,2
98,amk,"4.2,4.8",0.0,0,1
99,amk,"4.2,4.9",0.0,0,2
100,amk,4.2.1,1.484230055658627,8,531
101,amk,"4.2.1,2.2.1",0.0,0,15
102,amk,"4.2.1,2.2.1,4.8",0.0,0,1
103,amk,"4.2.1,4.9",0.0,0,1
104,amk,4.2.1.1.1.1.1.1.i1,5.042016806722689,6,113
105,amk,"4.2.1.1.1.1.1.1.i1,1.2.1.1.1",0.0,0,1
106,amk,"4.2.1.1.1.1.1.1.i1,4.2.1.2.1.1.i1",0.0,0,2
107,amk,4.2.1.1.1.1.1.1.i2,3.125,1,31
108,amk,4.2.1.1.1.1.2,0.0,0,28
109,amk,4.2.1.1.1.2.1.1.1.1.1,0.0,0,17
110,amk,4.2.1.1.1.2.1.1.1.1.2,14.285714285714286,1,6
111,amk,4.2.1.1.1.2.1.2,0.0,0,1
112,amk,4.2.1.1.1.2.2.1.1.1.2,0.0,0,3
113,amk,"4.2.1.1.1.2.2.1.1.1.2,4.2.1.1.1.2.2.1.2,1.1.1.2.i1,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
114,amk,4.2.1.1.1.2.2.1.1.2,0.0,0,2
115,amk,4.2.1.1.1.2.2.1.2,0.0,0,1
116,amk,"4.2.1.1.1.2.2.1.2,4.2.1.2.1.1.i3.2",0.0,0,1
117,amk,4.2.1.1.2,0.0,0,47
118,amk,4.2.1.2.1.1,0.0,0,1
119,amk,4.2.1.2.1.1.i1,3.260869565217391,3,89
120,amk,4.2.1.2.1.1.i2,0.0,0,8
121,amk,4.2.1.2.1.1.i3.1,8.0,4,46
122,amk,"4.2.1.2.1.1.i3.1,2.2.1.1.1",100.0,1,0
123,amk,4.2.1.2.1.1.i3.2,2.380952380952381,1,41
124,amk,4.2.1.2.1.1.i4.1,7.762557077625571,17,202
125,amk,"4.2.1.2.1.1.i4.1,4.2.1.2.1.1.i1",0.0,0,1
126,amk,4.2.1.2.1.2,0.0,0,3
127,amk,"4.2.1.2.1.2,4.2.1.1.1.2.2.1.1.1.2,4.1.i1.2.2,4.1.i1.1,1.1.1.2.i1,3.1,4.2.1.1.1.2.1.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
128,amk,4.2.1.2.2.1,0.0,0,3
129,amk,4.2.1.2.2.1.1,0.0,0,59
130,amk,4.2.1.2.2.1.2,0.0,0,12
131,amk,4.2.1.2.2.2,0.0,0,21
132,amk,4.2.2,3.7037037037037037,1,26
133,amk,4.2.2.1,15.625,5,27
134,amk,4.2.2.2.1,0.0,0,19
135,amk,4.2.2.2.2,0.0,0,2
136,amk,4.3,0.0,0,1
137,amk,"4.3,4.4.1.2,4.9",0.0,0,2
138,amk,"4.3,4.9",0.0,0,1
139,amk,4.3.1,0.0,0,2
140,amk,4.3.2,0.0,0,15
141,amk,4.3.2.1,14.814814814814815,4,23
142,amk,4.3.3,16.486486486486488,61,309
143,amk,"4.3.3,2.2.1",0.0,0,1
144,amk,"4.3.3,4.2.1",0.0,0,2
145,amk,"4.3.3,4.8",0.0,0,2
146,amk,4.3.4,0.0,0,2
147,amk,4.3.4.1,2.816901408450704,2,69
148,amk,4.3.4.2,24.41860465116279,21,65
149,amk,4.3.4.2.1,0.0,0,13
150,amk,4.4,0.0,0,1
151,amk,4.4.1.1,2.197802197802198,2,89
152,amk,4.4.1.2,0.0,0,12
153,amk,4.4.2,0.9345794392523364,1,106
154,amk,4.5,0.0,0,82
155,amk,"4.5,4.9",0.0,0,2
156,amk,4.6,11.11111111111111,1,8
157,amk,4.6.1.1,0.0,0,8
158,amk,4.6.1.2,0.0,0,6
159,amk,4.6.2,0.0,0,31
160,amk,4.6.2.2,0.0,0,7
161,amk,4.7,8.823529411764707,3,31
162,amk,4.8,1.243781094527363,5,397
163,amk,"4.8,4.3.4.1",0.0,0,1
164,amk,"4.8,4.9",0.0,0,1
165,amk,4.9,3.125,2,62
166,amk,5,0.0,0,1
167,amk,6,0.0,0,1
168,amk,"6,BOV_AFRI",0.0,0,4
169,amk,BOV_AFRI,0.0,0,20
170,amk,nan,0.0,0,8
171,cap,1,0.0,0,1
172,cap,1.1,0.0,0,1
173,cap,1.1.1,0.0,0,3
174,cap,"1.1.1,4.9",0.0,0,1
175,cap,1.1.1.1,0.0,0,3
176,cap,1.1.1.1.1,0.0,0,23
177,cap,"1.1.1.1.1,2.2.1.1.1",0.0,0,3
178,cap,1.1.1.2,0.0,0,25
179,cap,"1.1.1.2,4.2.1.1.1.1.1.1.i2",0.0,0,1
180,cap,"1.1.1.2.i1,2.2.1.1.1.i3",0.0,0,1
181,cap,1.1.2,3.5294117647058822,6,164
182,cap,"1.1.2,2.2.1.1.1",0.0,0,2
183,cap,"1.1.2,4",0.0,0,1
184,cap,1.1.3,0.0,0,31
185,cap,"1.1.3,4.9",0.0,0,2
186,cap,1.2.1,3.5714285714285716,1,27
187,cap,"1.2.1,4.9",0.0,0,1
188,cap,1.2.1.1.1,12.5,1,7
189,cap,1.2.1.1.2,0.0,0,3
190,cap,1.2.2,0.0,0,39
191,cap,"1.2.2,4",0.0,0,1
192,cap,1.2.2.1,0.0,0,41
193,cap,"1.2.2.1,1.1.2",0.0,0,1
194,cap,"1.2.2.1,2.2.1.1.1",0.0,0,1
195,cap,"1.2.2.1,4",0.0,0,1
196,cap,"1.2.2.1,4.2.1.2.1.1.i3.1,4.1.i1.1.1.1,2.2.1.1.1,4.2.1.2.1.1.i3.2,4.1.i1.1.2,1.1.1.2.i1,3.1.1.i1,4.2.1.1.1.1.1.1.i2",0.0,0,1
197,cap,1.2.2.2,0.0,0,15
198,cap,"2,4.8",0.0,0,1
199,cap,2.1,20.0,1,4
200,cap,2.2,0.0,0,1
201,cap,"2.2,3",0.0,0,1
202,cap,"2.2,4.8",0.0,0,2
203,cap,2.2.1,4.223107569721115,106,2404
204,cap,"2.2.1,4",33.333333333333336,1,2
205,cap,"2.2.1,4.2",0.0,0,1
206,cap,"2.2.1,4.8",0.0,0,8
207,cap,"2.2.1,4.9",0.0,0,4
208,cap,2.2.1.1,7.246376811594203,5,64
209,cap,2.2.1.1.1,8.385093167701863,54,590
210,cap,"2.2.1.1.1,2.2.1.1.2",100.0,1,0
211,cap,"2.2.1.1.1,3.1.1.i1",0.0,0,1
212,cap,"2.2.1.1.1,4.2.1.2.1.1",0.0,0,2
213,cap,"2.2.1.1.1,4.2.1.2.1.1.i1",0.0,0,6
214,cap,2.2.1.1.1.i1,0.0,0,6
215,cap,2.2.1.1.1.i2,0.0,0,2
216,cap,2.2.1.1.1.i3,10.416666666666666,5,43
217,cap,2.2.1.1.2,8.333333333333334,1,11
218,cap,2.2.1.2,0.0,0,1
219,cap,"2.2.1.2,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
220,cap,2.2.2,51.77865612648221,131,122
221,cap,"2.2.2,2.2.1",0.0,0,1
222,cap,"2.2.2,2.2.1.1.1",0.0,0,1
223,cap,3,16.428571428571427,23,117
224,cap,"3,4",0.0,0,1
225,cap,3.1,0.0,0,2
226,cap,"3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
227,cap,3.1.1,4.72972972972973,7,141
228,cap,"3.1.1,2.2.1.1.1",66.66666666666667,2,1
229,cap,"3.1.1,4.1.i1.1.1.1",0.0,0,1
230,cap,"3.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
231,cap,"3.1.1,4.2.1.1.1.2.1.1",0.0,0,1
232,cap,3.1.1.,0.0,0,1
233,cap,3.1.1.i1,0.0,0,15
234,cap,3.1.1.i2,6.896551724137931,2,27
235,cap,3.1.2,0.0,0,9
236,cap,3.1.2.1,0.0,0,8
237,cap,3.1.2.2,0.0,0,1
238,cap,3.2,0.0,0,1
239,cap,3.2.1,0.0,0,1
240,cap,4,31.11111111111111,14,31
241,cap,4.1,0.0,0,37
242,cap,4.1.1,25.0,1,3
243,cap,"4.1.1,4.8",0.0,0,1
244,cap,4.1.1.1,0.0,0,16
245,cap,4.1.1.2,0.0,0,5
246,cap,4.1.1.3,14.0625,9,55
247,cap,4.1.2,0.0,0,36
248,cap,4.1.2.1,4.910714285714286,11,213
249,cap,"4.1.2.1,2.2.1",0.0,0,6
250,cap,"4.1.2.1,2.2.1,1.1.2",100.0,1,0
251,cap,"4.1.2.1,3",0.0,0,1
252,cap,"4.1.2.1,4.2.1",0.0,0,1
253,cap,"4.1.2.1,4.3.3",0.0,0,1
254,cap,"4.1.2.1,4.4.1.1",0.0,0,1
255,cap,"4.1.2.1,4.8",0.0,0,3
256,cap,4.1.i1.1.1,0.0,0,1
257,cap,4.1.i1.1.1.1,2.247191011235955,6,261
258,cap,"4.1.i1.1.1.1,2.2.1.1.1",0.0,0,2
259,cap,"4.1.i1.1.1.1,4.2.1.2.1.1.i4.1",0.0,0,2
260,cap,"4.1.i1.1.1.1,4.2.1.2.2.1",0.0,0,1
261,cap,4.1.i1.1.1.2,20.0,1,4
262,cap,4.1.i1.1.2,0.0,0,3
263,cap,4.1.i1.2.1,3.816793893129771,5,126
264,cap,"4.1.i1.2.1,2.2.1.1.1",0.0,0,3
265,cap,4.1.i1.2.2,0.0,0,4
266,cap,4.1.i2.1,0.0,0,1
267,cap,"4.1.i2.1,4.2.1.2.1.1.i1",0.0,0,1
268,cap,4.2,0.0,0,2
269,cap,"4.2,4.8",0.0,0,1
270,cap,"4.2,4.9",0.0,0,2
271,cap,4.2.1,1.484230055658627,8,531
272,cap,"4.2.1,2.2.1",0.0,0,15
273,cap,"4.2.1,2.2.1,4.8",0.0,0,1
274,cap,"4.2.1,4.9",0.0,0,1
275,cap,4.2.1.1.1.1.1.1.i1,6.722689075630252,8,111
276,cap,"4.2.1.1.1.1.1.1.i1,1.2.1.1.1",0.0,0,1
277,cap,"4.2.1.1.1.1.1.1.i1,4.2.1.2.1.1.i1",0.0,0,2
278,cap,4.2.1.1.1.1.1.1.i2,6.25,2,30
279,cap,4.2.1.1.1.1.2,0.0,0,28
280,cap,4.2.1.1.1.2.1.1.1.1.1,0.0,0,17
281,cap,4.2.1.1.1.2.1.1.1.1.2,14.285714285714286,1,6
282,cap,4.2.1.1.1.2.1.2,0.0,0,1
283,cap,4.2.1.1.1.2.2.1.1.1.2,0.0,0,3
284,cap,"4.2.1.1.1.2.2.1.1.1.2,4.2.1.1.1.2.2.1.2,1.1.1.2.i1,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
285,cap,4.2.1.1.1.2.2.1.1.2,0.0,0,2
286,cap,4.2.1.1.1.2.2.1.2,0.0,0,1
287,cap,"4.2.1.1.1.2.2.1.2,4.2.1.2.1.1.i3.2",0.0,0,1
288,cap,4.2.1.1.2,0.0,0,47
289,cap,4.2.1.2.1.1,0.0,0,1
290,cap,4.2.1.2.1.1.i1,3.260869565217391,3,89
291,cap,4.2.1.2.1.1.i2,0.0,0,8
292,cap,4.2.1.2.1.1.i3.1,8.0,4,46
293,cap,"4.2.1.2.1.1.i3.1,2.2.1.1.1",100.0,1,0
294,cap,4.2.1.2.1.1.i3.2,2.380952380952381,1,41
295,cap,4.2.1.2.1.1.i4.1,7.762557077625571,17,202
296,cap,"4.2.1.2.1.1.i4.1,4.2.1.2.1.1.i1",0.0,0,1
297,cap,4.2.1.2.1.2,0.0,0,3
298,cap,"4.2.1.2.1.2,4.2.1.1.1.2.2.1.1.1.2,4.1.i1.2.2,4.1.i1.1,1.1.1.2.i1,3.1,4.2.1.1.1.2.1.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
299,cap,4.2.1.2.2.1,0.0,0,3
300,cap,4.2.1.2.2.1.1,0.0,0,59
301,cap,4.2.1.2.2.1.2,0.0,0,12
302,cap,4.2.1.2.2.2,0.0,0,21
303,cap,4.2.2,3.7037037037037037,1,26
304,cap,4.2.2.1,15.625,5,27
305,cap,4.2.2.2.1,0.0,0,19
306,cap,4.2.2.2.2,0.0,0,2
307,cap,4.3,0.0,0,1
308,cap,"4.3,4.4.1.2,4.9",0.0,0,2
309,cap,"4.3,4.9",0.0,0,1
310,cap,4.3.1,0.0,0,2
311,cap,4.3.2,0.0,0,15
312,cap,4.3.2.1,14.814814814814815,4,23
313,cap,4.3.3,16.486486486486488,61,309
314,cap,"4.3.3,2.2.1",0.0,0,1
315,cap,"4.3.3,4.2.1",0.0,0,2
316,cap,"4.3.3,4.8",0.0,0,2
317,cap,4.3.4,0.0,0,2
318,cap,4.3.4.1,2.816901408450704,2,69
319,cap,4.3.4.2,24.41860465116279,21,65
320,cap,4.3.4.2.1,0.0,0,13
321,cap,4.4,0.0,0,1
322,cap,4.4.1.1,2.197802197802198,2,89
323,cap,4.4.1.2,0.0,0,12
324,cap,4.4.2,0.9345794392523364,1,106
325,cap,4.5,0.0,0,82
326,cap,"4.5,4.9",0.0,0,2
327,cap,4.6,11.11111111111111,1,8
328,cap,4.6.1.1,0.0,0,8
329,cap,4.6.1.2,16.666666666666668,1,5
330,cap,4.6.2,0.0,0,31
331,cap,4.6.2.2,0.0,0,7
332,cap,4.7,70.58823529411765,24,10
333,cap,4.8,1.243781094527363,5,397
334,cap,"4.8,4.3.4.1",0.0,0,1
335,cap,"4.8,4.9",0.0,0,1
336,cap,4.9,3.125,2,62
337,cap,5,0.0,0,1
338,cap,6,0.0,0,1
339,cap,"6,BOV_AFRI",0.0,0,4
340,cap,BOV_AFRI,0.0,0,20
341,cap,nan,12.5,1,7
342,cip,1,0.0,0,1
343,cip,1.1,0.0,0,1
344,cip,1.1.1,66.66666666666667,2,1
345,cip,"1.1.1,4.9",0.0,0,1
346,cip,1.1.1.1,0.0,0,3
347,cip,1.1.1.1.1,0.0,0,23
348,cip,"1.1.1.1.1,2.2.1.1.1",0.0,0,3
349,cip,1.1.1.2,0.0,0,25
350,cip,"1.1.1.2,4.2.1.1.1.1.1.1.i2",0.0,0,1
351,cip,"1.1.1.2.i1,2.2.1.1.1.i3",0.0,0,1
352,cip,1.1.2,4.117647058823529,7,163
353,cip,"1.1.2,2.2.1.1.1",50.0,1,1
354,cip,"1.1.2,4",0.0,0,1
355,cip,1.1.3,0.0,0,31
356,cip,"1.1.3,4.9",0.0,0,2
357,cip,1.2.1,0.0,0,28
358,cip,"1.2.1,4.9",0.0,0,1
359,cip,1.2.1.1.1,0.0,0,8
360,cip,1.2.1.1.2,0.0,0,3
361,cip,1.2.2,2.5641025641025643,1,38
362,cip,"1.2.2,4",0.0,0,1
363,cip,1.2.2.1,4.878048780487805,2,39
364,cip,"1.2.2.1,1.1.2",0.0,0,1
365,cip,"1.2.2.1,2.2.1.1.1",100.0,1,0
366,cip,"1.2.2.1,4",0.0,0,1
367,cip,"1.2.2.1,4.2.1.2.1.1.i3.1,4.1.i1.1.1.1,2.2.1.1.1,4.2.1.2.1.1.i3.2,4.1.i1.1.2,1.1.1.2.i1,3.1.1.i1,4.2.1.1.1.1.1.1.i2",0.0,0,1
368,cip,1.2.2.2,0.0,0,15
369,cip,"2,4.8",0.0,0,1
370,cip,2.1,40.0,2,3
371,cip,2.2,0.0,0,1
372,cip,"2.2,3",0.0,0,1
373,cip,"2.2,4.8",0.0,0,2
374,cip,2.2.1,9.880478087649402,248,2262
375,cip,"2.2.1,4",33.333333333333336,1,2
376,cip,"2.2.1,4.2",0.0,0,1
377,cip,"2.2.1,4.8",0.0,0,8
378,cip,"2.2.1,4.9",25.0,1,3
379,cip,2.2.1.1,2.898550724637681,2,67
380,cip,2.2.1.1.1,23.60248447204969,152,492
381,cip,"2.2.1.1.1,2.2.1.1.2",0.0,0,1
382,cip,"2.2.1.1.1,3.1.1.i1",0.0,0,1
383,cip,"2.2.1.1.1,4.2.1.2.1.1",0.0,0,2
384,cip,"2.2.1.1.1,4.2.1.2.1.1.i1",0.0,0,6
385,cip,2.2.1.1.1.i1,0.0,0,6
386,cip,2.2.1.1.1.i2,0.0,0,2
387,cip,2.2.1.1.1.i3,25.0,12,36
388,cip,2.2.1.1.2,25.0,3,9
389,cip,2.2.1.2,0.0,0,1
390,cip,"2.2.1.2,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
391,cip,2.2.2,33.59683794466403,85,168
392,cip,"2.2.2,2.2.1",0.0,0,1
393,cip,"2.2.2,2.2.1.1.1",0.0,0,1
394,cip,3,10.0,14,126
395,cip,"3,4",0.0,0,1
396,cip,3.1,0.0,0,2
397,cip,"3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
398,cip,3.1.1,16.89189189189189,25,123
399,cip,"3.1.1,2.2.1.1.1",33.333333333333336,1,2
400,cip,"3.1.1,4.1.i1.1.1.1",0.0,0,1
401,cip,"3.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
402,cip,"3.1.1,4.2.1.1.1.2.1.1",0.0,0,1
403,cip,3.1.1.,0.0,0,1
404,cip,3.1.1.i1,6.666666666666667,1,14
405,cip,3.1.1.i2,17.24137931034483,5,24
406,cip,3.1.2,0.0,0,9
407,cip,3.1.2.1,0.0,0,8
408,cip,3.1.2.2,0.0,0,1
409,cip,3.2,0.0,0,1
410,cip,3.2.1,0.0,0,1
411,cip,4,4.444444444444445,2,43
412,cip,4.1,0.0,0,37
413,cip,4.1.1,50.0,2,2
414,cip,"4.1.1,4.8",0.0,0,1
415,cip,4.1.1.1,0.0,0,16
416,cip,4.1.1.2,0.0,0,5
417,cip,4.1.1.3,12.5,8,56
418,cip,4.1.2,0.0,0,36
419,cip,4.1.2.1,1.7857142857142858,4,220
420,cip,"4.1.2.1,2.2.1",0.0,0,6
421,cip,"4.1.2.1,2.2.1,1.1.2",100.0,1,0
422,cip,"4.1.2.1,3",0.0,0,1
423,cip,"4.1.2.1,4.2.1",0.0,0,1
424,cip,"4.1.2.1,4.3.3",0.0,0,1
425,cip,"4.1.2.1,4.4.1.1",0.0,0,1
426,cip,"4.1.2.1,4.8",0.0,0,3
427,cip,4.1.i1.1.1,0.0,0,1
428,cip,4.1.i1.1.1.1,6.367041198501872,17,250
429,cip,"4.1.i1.1.1.1,2.2.1.1.1",0.0,0,2
430,cip,"4.1.i1.1.1.1,4.2.1.2.1.1.i4.1",0.0,0,2
431,cip,"4.1.i1.1.1.1,4.2.1.2.2.1",0.0,0,1
432,cip,4.1.i1.1.1.2,20.0,1,4
433,cip,4.1.i1.1.2,33.333333333333336,1,2
434,cip,4.1.i1.2.1,7.633587786259542,10,121
435,cip,"4.1.i1.2.1,2.2.1.1.1",0.0,0,3
436,cip,4.1.i1.2.2,0.0,0,4
437,cip,4.1.i2.1,0.0,0,1
438,cip,"4.1.i2.1,4.2.1.2.1.1.i1",0.0,0,1
439,cip,4.2,0.0,0,2
440,cip,"4.2,4.8",0.0,0,1
441,cip,"4.2,4.9",0.0,0,2
442,cip,4.2.1,10.575139146567718,57,482
443,cip,"4.2.1,2.2.1",20.0,3,12
444,cip,"4.2.1,2.2.1,4.8",0.0,0,1
445,cip,"4.2.1,4.9",0.0,0,1
446,cip,4.2.1.1.1.1.1.1.i1,11.764705882352942,14,105
447,cip,"4.2.1.1.1.1.1.1.i1,1.2.1.1.1",0.0,0,1
448,cip,"4.2.1.1.1.1.1.1.i1,4.2.1.2.1.1.i1",0.0,0,2
449,cip,4.2.1.1.1.1.1.1.i2,12.5,4,28
450,cip,4.2.1.1.1.1.2,0.0,0,28
451,cip,4.2.1.1.1.2.1.1.1.1.1,5.882352941176471,1,16
452,cip,4.2.1.1.1.2.1.1.1.1.2,0.0,0,7
453,cip,4.2.1.1.1.2.1.2,0.0,0,1
454,cip,4.2.1.1.1.2.2.1.1.1.2,0.0,0,3
455,cip,"4.2.1.1.1.2.2.1.1.1.2,4.2.1.1.1.2.2.1.2,1.1.1.2.i1,3.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
456,cip,4.2.1.1.1.2.2.1.1.2,0.0,0,2
457,cip,4.2.1.1.1.2.2.1.2,0.0,0,1
458,cip,"4.2.1.1.1.2.2.1.2,4.2.1.2.1.1.i3.2",100.0,1,0
459,cip,4.2.1.1.2,6.382978723404255,3,44
460,cip,4.2.1.2.1.1,0.0,0,1
461,cip,4.2.1.2.1.1.i1,3.260869565217391,3,89
462,cip,4.2.1.2.1.1.i2,0.0,0,8
463,cip,4.2.1.2.1.1.i3.1,8.0,4,46
464,cip,"4.2.1.2.1.1.i3.1,2.2.1.1.1",100.0,1,0
465,cip,4.2.1.2.1.1.i3.2,4.761904761904762,2,40
466,cip,4.2.1.2.1.1.i4.1,11.872146118721462,26,193
467,cip,"4.2.1.2.1.1.i4.1,4.2.1.2.1.1.i1",0.0,0,1
468,cip,4.2.1.2.1.2,0.0,0,3
469,cip,"4.2.1.2.1.2,4.2.1.1.1.2.2.1.1.1.2,4.1.i1.2.2,4.1.i1.1,1.1.1.2.i1,3.1,4.2.1.1.1.2.1.1.1,4.2.1.1.1.1.1.1.i2",0.0,0,1
470,cip,4.2.1.2.2.1,0.0,0,3
471,cip,4.2.1.2.2.1.1,37.28813559322034,22,37
472,cip,4.2.1.2.2.1.2,8.333333333333334,1,11
473,cip,4.2.1.2.2.2,0.0,0,21
474,cip,4.2.2,3.7037037037037037,1,26
475,cip,4.2.2.1,12.5,4,28
476,cip,4.2.2.2.1,15.789473684210526,3,16
477,cip,4.2.2.2.2,0.0,0,2
478,cip,4.3,0.0,0,1
479,cip,"4.3,4.4.1.2,4.9",0.0,0,2
480,cip,"4.3,4.9",0.0,0,1
481,cip,4.3.1,0.0,0,2
482,cip,4.3.2,6.666666666666667,1,14
483,cip,4.3.2.1,0.0,0,27
484,cip,4.3.3,15.675675675675675,58,312
485,cip,"4.3.3,2.2.1",0.0,0,1
486,cip,"4.3.3,4.2.1",50.0,1,1
487,cip,"4.3.3,4.8",0.0,0,2
488,cip,4.3.4,0.0,0,2
489,cip,4.3.4.1,1.408450704225352,1,70
490,cip,4.3.4.2,23.25581395348837,20,66
491,cip,4.3.4.2.1,7.6923076923076925,1,12
492,cip,4.4,0.0,0,1
493,cip,4.4.1.1,3.2967032967032965,3,88
494,cip,4.4.1.2,0.0,0,12
495,cip,4.4.2,4.672897196261682,5,102
496,cip,4.5,3.658536585365854,3,79
497,cip,"4.5,4.9",0.0,0,2
498,cip,4.6,22.22222222222222,2,7
499,cip,4.6.1.1,0.0,0,8
500,cip,4.6.1.2,0.0,0,6
501,cip,4.6.2,0.0,0,31
502,cip,4.6.2.2,0.0,0,7
503,cip,4.7,17.647058823529413,6,28
